City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Taoudenni,ML,22.6783,-3.9836,59.63,33,0,8.86,clear sky
80,Dandong,CN,40.1292,124.3947,16.84,81,0,7.54,clear sky
81,Arraial Do Cabo,BR,-22.9661,-42.0278,75.04,81,100,5.64,light rain
82,La Sarre,CA,48.8002,-79.1996,-7.96,90,40,5.39,scattered clouds
83,Ponta Do Sol,PT,32.6667,-17.1,57.99,74,40,5.01,scattered clouds
84,Balabac,PH,7.9868,117.0645,81.73,76,100,4.85,overcast clouds
85,Luderitz,NA,-26.6481,15.1594,68.05,52,0,28.34,clear sky
86,Karratha,AU,-20.7377,116.8463,81.61,59,0,8.99,clear sky
87,Tura,IN,25.5198,90.2201,56.34,54,0,2.53,clear sky
88,Nigde,TR,37.8333,34.75,39.58,71,97,5.23,overcast clouds
89,Fukue,JP,32.6881,128.8419,48.2,57,20,19.57,few clouds
90,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,90,6.91,light rain
91,Birjand,IR,32.8663,59.2211,37.4,32,0,4.61,clear sky
92,Butaritari,KI,3.0707,172.7902,80.94,80,18,18.84,few clouds
93,Tautira,PF,-17.7333,-149.15,86.0,70,40,12.66,scattered clouds
94,Punta Arenas,CL,-53.15,-70.9167,62.6,42,75,8.05,broken clouds
95,Bustamante,MX,26.5333,-100.5,68.02,39,100,7.87,overcast clouds
96,Santa Isabel,BR,-23.3156,-46.2214,68.0,82,75,6.91,broken clouds
97,Kapaa,US,22.0752,-159.319,75.2,50,1,6.91,clear sky
98,Atuona,PF,-9.8,-139.0333,79.72,73,14,20.71,few clouds
99,Sola,VU,-13.8833,167.55,89.6,70,75,3.31,broken clouds
100,Sao Sebastiao,BR,-23.76,-45.4097,71.46,80,38,2.21,scattered clouds
101,Srednekolymsk,RU,67.45,153.6833,-5.84,82,31,4.76,scattered clouds
102,Nosy Varika,MG,-20.5833,48.5333,77.27,85,1,9.71,clear sky
103,Chinchani,IN,19.8667,72.7,70.92,38,16,7.43,few clouds
104,Husavik,IS,66.0449,-17.3389,30.2,80,75,7.27,broken clouds
105,Longyearbyen,SJ,78.2186,15.6401,8.6,56,0,16.11,clear sky
106,Broken Hill,AU,-31.95,141.4333,75.2,33,0,12.66,clear sky
107,Avera,US,33.194,-82.5271,39.2,78,1,5.23,clear sky
108,Eyl,SO,7.9803,49.8164,73.27,82,0,15.57,clear sky
109,Port Hardy,CA,50.6996,-127.4199,39.2,81,75,8.05,broken clouds
110,Yen Bai,VN,21.7,104.8667,68.81,81,98,3.18,overcast clouds
111,Tasiilaq,GL,65.6145,-37.6368,21.2,53,0,4.61,clear sky
